,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean,predicted,label
0,1.0,0,15,0,15,0.5,0.0,0.0,1.0,0.0,True,True
1,0.95,1,13,2,14,0.4666666666666667,0.3333333333333333,0.06666666666666667,0.8666666666666667,0.1111111111111111,True,True
2,0.9,3,12,3,12,0.5,0.5,0.2,0.8,0.28571428571428575,True,False
3,0.85,5,11,4,10,0.5333333333333333,0.5555555555555556,0.3333333333333333,0.7333333333333333,0.4166666666666667,True,True
4,0.8,5,11,4,10,0.5333333333333333,0.5555555555555556,0.3333333333333333,0.7333333333333333,0.4166666666666667,True,False
5,0.75,7,11,4,8,0.6,0.6363636363636364,0.4666666666666667,0.7333333333333333,0.5384615384615385,True,False
6,0.7,7,10,5,8,0.5666666666666667,0.5833333333333334,0.4666666666666667,0.6666666666666666,0.5185185185185186,True,True
7,0.65,8,10,5,7,0.6,0.6153846153846154,0.5333333333333333,0.6666666666666666,0.5714285714285715,True,True
8,0.6,11,10,5,4,0.7,0.6875,0.7333333333333333,0.6666666666666666,0.7096774193548386,True,False
9,0.55,11,9,6,4,0.6666666666666666,0.6470588235294118,0.7333333333333333,0.6,0.6875,True,True
10,0.5,12,9,6,3,0.7,0.6666666666666666,0.8,0.6,0.7272727272727272,True,True
11,0.45,12,8,7,3,0.6666666666666666,0.631578947368421,0.8,0.5333333333333333,0.7058823529411765,True,True
12,0.4,12,7,8,3,0.6333333333333333,0.6,0.8,0.4666666666666667,0.6857142857142857,True,False
13,0.35,12,7,8,3,0.6333333333333333,0.6,0.8,0.4666666666666667,0.6857142857142857,True,True
14,0.3,12,7,8,3,0.6333333333333333,0.6,0.8,0.4666666666666667,0.6857142857142857,True,False
15,0.25,12,7,8,3,0.6333333333333333,0.6,0.8,0.4666666666666667,0.6857142857142857,True,False
16,0.2,12,7,8,3,0.6333333333333333,0.6,0.8,0.4666666666666667,0.6857142857142857,True,True
17,0.15,12,5,10,3,0.5666666666666667,0.5454545454545454,0.8,0.3333333333333333,0.6486486486486486,True,False
18,0.1,12,5,10,3,0.5666666666666667,0.5454545454545454,0.8,0.3333333333333333,0.6486486486486486,True,True
19,0.05,14,4,11,1,0.6,0.56,0.9333333333333333,0.26666666666666666,0.7000000000000001,True,False
20,0.0,15,0,15,0,0.5,0.5,1.0,0.0,0.6666666666666666,True,False
